id;title;description;current_price;status_item
1;Supervisor convergence;customer loyalty azure;46770;false
2;Bedfordshire SQL Heard Island and McDonald Islands;Lao People's Democratic Republic Bike Tuna;35758;true
3;silver;supply-chains hard drive;62445;true
4;integrated proactive;systemic e-tailers;74546;true
5;Brand;UAE Dirham Towels;14734;false
6;Small Rubber Shirt;Cote d'Ivoire Metal back up;46595;true
7;Shores;Agent partnerships intermediate;83213;false
8;frictionless;hub Agent Multi-channelled;96170;true
9;Directives models;calculate Triple-buffered;2593;false
10;Corporate;Associate;63950;true
