id;start_date;end_date;language
1;2020-06-08T10:23:29;2020-06-08T08:13:44;SPANISH
2;2020-06-07T15:13:40;2020-06-08T10:18:05;SPANISH
3;2020-06-08T06:08:59;2020-06-07T16:43:08;FRENCH
4;2020-06-07T21:26:30;2020-06-08T08:57:56;FRENCH
5;2020-06-08T06:56:48;2020-06-08T11:43:47;FRENCH
6;2020-06-08T00:49:09;2020-06-08T12:57:23;FRENCH
7;2020-06-08T02:34:29;2020-06-07T20:25:20;FRENCH
8;2020-06-08T01:30:42;2020-06-08T11:46:50;SPANISH
9;2020-06-08T00:11:51;2020-06-07T20:53:14;SPANISH
10;2020-06-08T08:23:55;2020-06-07T18:58:25;SPANISH
