id;name;description;image;image_content_type;price;size;available_until
1;Generic Steel Tuna;website calculating;../fake-data/blob/hipster.png;image/png;57374;M;2020-06-10T22:17:32
2;Computer reboot reboot;magenta Track;../fake-data/blob/hipster.png;image/png;62989;XXL;2020-06-11T07:04:13
3;Steel;Kina networks;../fake-data/blob/hipster.png;image/png;40879;L;2020-06-10T19:54:51
4;compressing New Zealand initiative;Generic Metal Hat;../fake-data/blob/hipster.png;image/png;18327;S;2020-06-11T10:46:09
5;Small Wooden Bike Licensed Wooden Computer Oklahoma;aggregate throughput Practical;../fake-data/blob/hipster.png;image/png;94963;S;2020-06-10T21:14:22
6;COM Personal Loan Account yellow;Cape Verde;../fake-data/blob/hipster.png;image/png;40746;L;2020-06-11T01:52:15
7;Rubber CSS;Bike Keyboard Tunnel;../fake-data/blob/hipster.png;image/png;46377;M;2020-06-10T20:34:40
8;Checking Account methodical optical;Cheese rich multi-byte;../fake-data/blob/hipster.png;image/png;80408;M;2020-06-10T21:55:33
9;Fantastic;Sleek Soft Sausages Practical;../fake-data/blob/hipster.png;image/png;86012;XXL;2020-06-10T22:24:21
10;navigate grey Harbors;Automotive Massachusetts Checking Account;../fake-data/blob/hipster.png;image/png;6748;S;2020-06-11T16:05:56
